Deltakernummer ;Spørsmål 1;Spørsmål 2;Spørsmål 3;Spørsmål 4;Spørsmål 5;Spørsmål 6;Spørsmål 7;Spørsmål 8;Spørsmål 9;Spørsmål 10;Spørsmål 11;Spørsmål 12;Spørsmål 13;Spørsmål 14;Spørsmål 15;
1;3;2;2;4;4;2;3;2;5;3;4;3;2;3;5;
2;2;3;2;2;2;4;3;2;4;3;4;3;3;2;3;
3;2;2;3;2;3;4;2;2;3;2;3;5;2;3;5;
4;5;4;5;3;3;3;4;4;3;3;3;4;4;3;5;
5;4;4;4;2;4;5;4;5;5;5;4;6;3;5;2;
6;6;5;4;5;2;3;5;5;4;4;2;6;2;5;6;
7;3;3;3;4;5;2;4;4;3;3;4;4;3;6;4;
8;4;5;5;3;4;5;2;3;3;4;2;5;2;2;4;
9;4;2;4;3;1;5;4;4;4;4;3;5;4;3;5;
10;4;3;3;2;4;5;3;5;4;3;5;6;3;4;6;
11;4;5;3;1;2;1;2;2;3;3;3;6;2;4;4;
12;5;5;3;2;5;2;3;4;2;2;4;2;5;3;6;
13;3;4;6;2;5;2;3;4;5;3;5;6;2;4;5;
14;3;2;3;3;4;5;3;6;4;5;3;5;4;4;4;
15;3;6;4;4;6;6;3;4;4;4;3;6;3;6;6;
16;4;5;2;3;2;4;3;4;3;5;4;6;2;3;4;
17;5;5;4;4;4;4;4;4;4;5;4;5;4;5;5;
18;4;4;3;3;5;5;6;6;6;4;5;6;3;6;4;
19;6;4;6;3;4;3;5;5;3;5;5;6;6;5;4;
20;5;5;5;2;6;4;6;6;6;5;4;5;5;4;6;
21;4;4;3;2;3;2;3;3;4;3;4;6;4;3;6;
22;4;2;3;4;4;1;3;5;5;4;4;5;5;3;2;
23;5;5;6;5;6;3;5;4;4;5;4;6;2;5;6;
24;5;3;4;5;5;3;5;5;4;5;3;4;4;5;6;
25;5;3;5;3;6;4;4;5;4;3;5;6;3;3;3;
26;5;5;5;6;3;1;6;5;1;3;1;6;1;6;6;
27;4;3;4;2;2;2;3;4;4;3;3;3;2;4;4;
28;4;5;3;5;4;4;4;4;4;4;3;5;4;5;4;
29;5;6;5;4;4;4;5;5;4;6;4;6;3;6;6;
30;5;6;4;4;5;5;4;5;3;4;3;4;3;5;5;
31;4;6;6;3;4;6;6;6;5;5;3;6;3;4;4;
32;6;4;6;4;2;1;4;6;4;5;6;4;6;6;6;
33;5;4;3;4;3;3;5;5;5;3;3;6;3;3;5;
34;5;6;3;4;4;5;6;5;5;5;1;5;3;5;6;
35;2;4;4;4;4;2;3;4;3;5;5;3;3;3;5;
36;4;6;5;4;5;3;6;6;5;5;3;6;4;6;5;
37;4;2;5;2;2;3;2;2;2;3;2;2;1;2;2;
38;5;3;5;1;3;1;2;4;2;2;3;4;1;3;1;
39;3;4;2;5;4;1;3;5;5;2;1;3;3;1;5;
40;5;4;3;4;4;2;5;5;5;4;5;6;5;5;5;
41;4;4;3;2;5;2;3;3;3;3;3;5;3;3;4;
42;2;3;1;1;2;1;3;2;3;3;1;3;4;1;2;
43;6;6;3;2;3;1;3;4;3;3;5;3;4;5;6;
44;6;4;6;1;3;1;3;5;5;2;4;6;5;2;6;
45;5;5;4;4;2;3;3;4;5;3;5;5;4;5;2;
46;5;2;5;3;3;1;5;5;4;4;4;6;5;4;4;
47;4;6;4;3;5;3;4;4;4;4;5;5;2;4;6;
48;3;6;5;4;2;3;4;4;3;4;4;6;5;5;4;
49;4;6;3;3;5;4;4;4;5;5;3;6;6;3;6;
50;4;3;2;3;1;2;2;2;3;4;2;4;2;4;5;
51;6;5;3;2;4;2;4;4;5;4;2;6;3;4;5;
52;3;2;3;5;5;1;1;3;3;2;2;1;2;1;3;
53;5;5;2;1;4;1;3;3;4;4;2;6;3;4;6;
54;4;5;2;2;3;4;3;2;2;5;2;6;3;4;6;
55;6;4;5;1;4;2;3;4;5;5;5;4;1;3;5;
56;3;2;3;4;2;1;4;3;3;3;4;5;4;4;3;
57;;;;;;;;;;;;;;;;
58;3;5;5;2;5;6;3;4;5;5;2;5;2;5;4;
59;5;4;5;3;3;2;3;5;4;4;6;3;5;2;2;
60;4;5;5;3;4;2;3;4;4;4;5;5;6;3;5;